order_id,date,customer_id,product_id,employee_id,region,units_sold,revenue
90000,20-06-2023,6396,P102,2375,East,2,190
90001,01-06-2023,5173,P105,2067,North,3,180
90002,14-06-2023,8394,P101,2963,South,1,150
90003,24-10-2023,7623,P104,1773,South,1,25
90004,14-04-2023,7888,P105,1911,South,1,60
90005,10-08-2023,7246,P105,2217,West,1,60
90006,09-10-2023,8078,P103,1457,South,2,360
90007,23-01-2024,8051,P101,2539,East,3,450
90008,07-01-2024,9729,P102,2087,South,2,190
90009,09-05-2023,6699,P104,2284,North,3,75
90010,08-02-2024,5962,P101,2188,East,3,450
90011,08-08-2023,8091,P105,1102,South,1,60
90012,22-06-2023,8784,P105,1153,East,1,60
90013,16-04-2024,6844,P102,1669,North,4,380
90014,14-12-2023,9693,P103,1897,East,3,540
90015,20-04-2024,8251,P102,2394,West,4,380
90016,28-03-2024,6750,P102,2937,West,2,190
90017,06-04-2023,5892,P101,1262,East,4,600
90018,21-02-2023,5214,P103,2901,South,1,180
90019,04-04-2023,8429,P105,2646,South,1,60
90020,05-03-2023,9979,P103,2622,South,2,360
90021,21-01-2023,8644,P101,2016,South,3,450
90022,16-04-2023,7615,P101,1659,North,2,300
90023,02-12-2023,5605,P102,1782,North,1,95
90024,19-07-2023,5551,P101,1947,West,3,450
90025,28-11-2023,9414,P103,1885,East,3,540
90026,18-12-2023,7513,P102,1667,North,3,285
90027,08-10-2023,9824,P102,2005,West,1,95
90028,26-03-2024,6177,P102,2983,South,1,95
90029,09-10-2023,9446,P103,1322,West,2,360
90030,10-04-2023,6483,P102,2154,North,3,285
90031,03-12-2023,8311,P104,2208,East,4,100
90032,27-01-2023,9285,P104,1054,North,1,25
90033,02-09-2023,6545,P103,2419,East,4,720
90034,11-03-2024,6496,P105,1703,East,4,240
90035,04-03-2023,9782,P105,1568,South,4,240
90036,08-12-2023,5072,P102,1481,East,1,95
90037,09-01-2024,9036,P103,2059,East,3,540
90038,04-03-2024,7226,P102,1391,South,4,380
90039,17-03-2024,6090,P102,1776,West,4,380
90040,07-02-2023,6616,P104,1674,East,2,50
90041,23-02-2024,9172,P101,2405,North,2,300
90042,29-10-2023,9802,P103,2111,North,4,720
90043,07-05-2023,5987,P101,2495,West,3,450
90044,12-03-2023,7115,P104,2442,West,2,50
90045,22-01-2024,6591,P101,1138,North,3,450
90046,14-05-2023,5587,P104,1375,East,4,100
90047,10-09-2023,5842,P105,2925,East,1,60
90048,13-01-2023,8649,P104,1408,South,1,25
90049,23-06-2023,8616,P103,1000,West,1,180
90050,07-04-2024,6565,P105,2800,East,4,240
90051,31-03-2023,8609,P102,2148,West,2,190
90052,03-01-2024,7929,P103,1631,East,2,360
90053,16-10-2023,5721,P103,2995,West,2,360
90054,26-07-2023,6804,P103,1844,North,2,360
90055,03-03-2023,9419,P101,1540,North,4,600
90056,15-11-2023,8194,P101,1813,East,3,450
