employee_id,age,department,role,region,education_level,years_worked,attendance_percent,training_hours,promotions,tasks_completed,project_success_rate,manager_rating,peer_rating,salary,performance_score
10000,50,IT,Senior,North,Bachelor,27,95.97947477515176,41.1263668182564,4,477.6444075332843,1.0,5.0,4.716953162351123,114859.8169088362,4.96
10001,36,Sales,Junior,West,Bachelor,12,89.86462142474032,60.46681734161961,2,230.70443325928505,1.0,4.69693222128436,5.0,51774.65873008076,4.54
10002,29,IT,Manager,North,Bachelor,8,91.40145622299283,42.80352020837135,1,193.45390755498445,1.0,5.0,5.0,114997.4376178409,4.38
10003,42,IT,Junior,South,PhD,19,86.65208816743778,75.41457194832253,3,422.28348449306503,1.0,4.651028051374913,5.0,61916.15374497245,4.78
10004,40,IT,Junior,West,Master,19,91.95053624703054,51.43915127999089,3,401.565902586221,1.0,5.0,5.0,72385.94368836435,4.76
10005,44,HR,Junior,South,Bachelor,22,90.68671622923776,61.11268519167489,3,399.93604119655646,1.0,4.8349565304954805,4.331789536497958,78313.48700666573,4.79
10006,32,Sales,Junior,West,Bachelor,7,91.79967760457413,66.74248308424765,0,177.7820540897637,1.0,5.0,4.5968156616437925,47152.04303180054,4.45
10007,32,Sales,Junior,East,Master,5,97.88683559344756,75.16347465799197,1,121.72006765000047,1.0,5.0,5.0,53595.6443327077,4.52
10008,45,HR,Senior,East,PhD,18,92.71079218316096,47.18490297317129,4,356.48432897806384,1.0,5.0,4.020767317298331,89129.83518490606,4.61
10009,57,Finance,Senior,East,Bachelor,35,88.82136326341679,42.909134015923314,5,639.2489105647077,1.0,5.0,5.0,127997.91722605274,5.0
10010,45,Marketing,Senior,South,Bachelor,22,89.15472035781373,46.665425319826305,3,468.6078485198755,1.0,5.0,4.94405995046541,110192.2811908132,4.79
10011,24,Sales,Manager,South,Master,0,94.38052474365507,36.7376883433626,0,10.0,0.9690695465976134,5.0,5.0,101729.07597075767,4.12
10012,43,Marketing,Senior,West,Master,17,97.1947731639737,30.722857077156316,2,350.38497463164344,1.0,5.0,5.0,94522.3710948532,4.65
10013,23,Operations,Intern,West,Bachelor,1,93.1276720830042,81.9279879250627,0,22.051815819099875,1.0,4.620663422322247,4.668009860145769,23062.099100499614,4.3
10014,45,Operations,Senior,West,Bachelor,21,94.75485097821908,54.591609941886915,2,466.1518495331484,1.0,5.0,4.645324980849169,98481.20815634436,4.82
10015,51,HR,Intern,West,Master,30,94.43895089334681,77.92643231305995,5,596.2389904200747,1.0,4.8308390292484,4.738608263501541,78123.13339581373,5.0
10016,59,Operations,Intern,North,Master,33,97.67625765343008,81.29446642547444,4,659.5465922974215,1.0,4.667221256627815,5.0,66567.34354782854,5.0
10017,23,Operations,Senior,East,Master,0,84.20163930909587,37.57483550473978,0,47.358461714358896,0.9828980217360598,4.82753814087711,3.763383268902677,76587.00584828659,3.9
10018,42,Finance,Junior,North,Master,16,94.66887575721812,36.86140504393125,2,300.2533326874943,1.0,5.0,5.0,60293.86291287929,4.61
10019,54,Finance,Intern,North,Bachelor,31,95.93494417561425,80.20590177234679,4,644.4296855422333,1.0,5.0,4.558482706386316,74484.04139751825,5.0
10020,33,Finance,Intern,North,Master,9,86.6451051754577,83.01791930652873,2,174.04152831364607,1.0,5.0,5.0,43561.642908775844,4.55
10021,43,Operations,Intern,North,Bachelor,22,88.45732726397434,74.87506609119097,3,409.92374113985215,1.0,5.0,5.0,54929.954055096714,4.92
10022,46,HR,Manager,East,Master,22,88.59686900548739,18.453630511152717,3,440.0348296016262,1.0,5.0,4.168836708535657,134433.28634283575,4.56
10023,48,IT,Intern,North,Bachelor,26,89.08483921449047,71.19393540218351,4,540.7511534082396,1.0,5.0,4.886566786499684,54217.10487607711,5.0
10024,49,IT,Intern,West,Master,26,90.0731317962579,87.64187616135564,3,560.6112951992953,1.0,5.0,5.0,53621.661952158574,5.0
