order_id,date,customer_id,product_id,employee_id,region,units_sold,revenue,month,product_name,category,supplier,cost_price,selling_price,budget,impressions,conversions,roi
90000,2023-06-20,6396,P102,2375,East,2,190,6,Running Shoes,Sports,FitGear,40,95,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90001,2023-06-01,5173,P105,2067,North,3,180,6,Protein Powder,Health,NutriLabs,20,60,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90002,2023-06-14,8394,P101,2963,South,1,150,6,Smart Watch,Electronics,TechSupply,80,150,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90003,2023-10-24,7623,P104,1773,South,1,25,10,T-shirt,Clothing,UrbanWear,10,25,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90004,2023-04-14,7888,P105,1911,South,1,60,4,Protein Powder,Health,NutriLabs,20,60,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90005,2023-08-10,7246,P105,2217,West,1,60,8,Protein Powder,Health,NutriLabs,20,60,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90006,2023-10-09,8078,P103,1457,South,2,360,10,Office Chair,Furniture,ComfortWorks,70,180,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90007,2024-01-23,8051,P101,2539,East,3,450,1,Smart Watch,Electronics,TechSupply,80,150,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90008,2024-01-07,9729,P102,2087,South,2,190,1,Running Shoes,Sports,FitGear,40,95,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90009,2023-05-09,6699,P104,2284,North,3,75,5,T-shirt,Clothing,UrbanWear,10,25,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90010,2024-02-08,5962,P101,2188,East,3,450,2,Smart Watch,Electronics,TechSupply,80,150,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90011,2023-08-08,8091,P105,1102,South,1,60,8,Protein Powder,Health,NutriLabs,20,60,29306.653846153848,542382.8653846154,4742.826923076923,214.4925
90012,2023-06-22,8784,P105,1153,East,1,60,6,Protein Powder,Health,NutriLabs,20,60,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90013,2024-04-16,6844,P102,1669,North,4,380,4,Running Shoes,Sports,FitGear,40,95,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90014,2023-12-14,9693,P103,1897,East,3,540,12,Office Chair,Furniture,ComfortWorks,70,180,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90015,2024-04-20,8251,P102,2394,West,4,380,4,Running Shoes,Sports,FitGear,40,95,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90016,2024-03-28,6750,P102,2937,West,2,190,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90017,2023-04-06,5892,P101,1262,East,4,600,4,Smart Watch,Electronics,TechSupply,80,150,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90018,2023-02-21,5214,P103,2901,South,1,180,2,Office Chair,Furniture,ComfortWorks,70,180,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90019,2023-04-04,8429,P105,2646,South,1,60,4,Protein Powder,Health,NutriLabs,20,60,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90020,2023-03-05,9979,P103,2622,South,2,360,3,Office Chair,Furniture,ComfortWorks,70,180,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90021,2023-01-21,8644,P101,2016,South,3,450,1,Smart Watch,Electronics,TechSupply,80,150,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90022,2023-04-16,7615,P101,1659,North,2,300,4,Smart Watch,Electronics,TechSupply,80,150,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90023,2023-12-02,5605,P102,1782,North,1,95,12,Running Shoes,Sports,FitGear,40,95,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90024,2023-07-19,5551,P101,1947,West,3,450,7,Smart Watch,Electronics,TechSupply,80,150,24790.714285714286,506870.54761904763,5028.952380952381,305.90261904761905
90025,2023-11-28,9414,P103,1885,East,3,540,11,Office Chair,Furniture,ComfortWorks,70,180,30436.1,422552.6,4626.4,205.669
90026,2023-12-18,7513,P102,1667,North,3,285,12,Running Shoes,Sports,FitGear,40,95,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90027,2023-10-08,9824,P102,2005,West,1,95,10,Running Shoes,Sports,FitGear,40,95,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90028,2024-03-26,6177,P102,2983,South,1,95,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90029,2023-10-09,9446,P103,1322,West,2,360,10,Office Chair,Furniture,ComfortWorks,70,180,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90030,2023-04-10,6483,P102,2154,North,3,285,4,Running Shoes,Sports,FitGear,40,95,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
90031,2023-12-03,8311,P104,2208,East,4,100,12,T-shirt,Clothing,UrbanWear,10,25,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90032,2023-01-27,9285,P104,1054,North,1,25,1,T-shirt,Clothing,UrbanWear,10,25,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90033,2023-09-02,6545,P103,2419,East,4,720,9,Office Chair,Furniture,ComfortWorks,70,180,25930.425,491309.95,5210.25,253.85700000000003
90034,2024-03-11,6496,P105,1703,East,4,240,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90035,2023-03-04,9782,P105,1568,South,4,240,3,Protein Powder,Health,NutriLabs,20,60,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90036,2023-12-08,5072,P102,1481,East,1,95,12,Running Shoes,Sports,FitGear,40,95,27036.867924528302,500590.1320754717,4598.698113207547,259.1258490566038
90037,2024-01-09,9036,P103,2059,East,3,540,1,Office Chair,Furniture,ComfortWorks,70,180,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90038,2024-03-04,7226,P102,1391,South,4,380,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90039,2024-03-17,6090,P102,1776,West,4,380,3,Running Shoes,Sports,FitGear,40,95,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90040,2023-02-07,6616,P104,1674,East,2,50,2,T-shirt,Clothing,UrbanWear,10,25,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90041,2024-02-23,9172,P101,2405,North,2,300,2,Smart Watch,Electronics,TechSupply,80,150,26902.666666666668,490064.6388888889,5237.0,285.48499999999996
90042,2023-10-29,9802,P103,2111,North,4,720,10,Office Chair,Furniture,ComfortWorks,70,180,24653.793103448275,626234.6896551724,4094.137931034483,234.71206896551723
90043,2023-05-07,5987,P101,2495,West,3,450,5,Smart Watch,Electronics,TechSupply,80,150,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90044,2023-03-12,7115,P104,2442,West,2,50,3,T-shirt,Clothing,UrbanWear,10,25,24134.585365853658,483681.46341463417,5253.317073170731,250.60682926829267
90045,2024-01-22,6591,P101,1138,North,3,450,1,Smart Watch,Electronics,TechSupply,80,150,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90046,2023-05-14,5587,P104,1375,East,4,100,5,T-shirt,Clothing,UrbanWear,10,25,31607.942857142858,543547.0,5374.314285714286,218.99428571428572
90047,2023-09-10,5842,P105,2925,East,1,60,9,Protein Powder,Health,NutriLabs,20,60,25930.425,491309.95,5210.25,253.85700000000003
90048,2023-01-13,8649,P104,1408,South,1,25,1,T-shirt,Clothing,UrbanWear,10,25,26853.575757575756,548523.8484848485,4457.060606060606,234.6290909090909
90049,2023-06-23,8616,P103,1000,West,1,180,6,Office Chair,Furniture,ComfortWorks,70,180,27794.911111111112,490536.3333333333,6264.933333333333,260.74777777777774
90050,2024-04-07,6565,P105,2800,East,4,240,4,Protein Powder,Health,NutriLabs,20,60,26723.68181818182,521777.5681818182,5303.840909090909,292.56545454545454
